Questions and Answers,John Copeland Nagle,9780769865102,148
Understanding Property Law,John G. Sprankling,9781422498736,706
The Law of Torts,Joseph W. Glannon,9781454850113,710
The Catcher in the Rye,J.D. Salinger,9780316769488,240
One Flew Over the Cuckoo's Nest,Ken Kesey,9780451163967,272
The Stranger,Albert Camus,9780679720201,123
"The Myth of Sisyphus, and Other Essays",Albert Camus,9780679733737,212
Brave New World,Aldous Huxley,9780060850524,279
One Day in the Life of Ivan Denisovich,Aleksandr Isaevich Solzhenit︠s︡yn,9780451228147,181
The Kingdom of God Is Within You,Leo Tolstoy,9781522744603,194
Pride and Prejudice,Jane Austen,9780141439518,435
The Count of Monte Cristo,Alexandre Dumas pere,9780140449266,1276
Inferno,Dante Alighieri,9780140448955,449
Purgatorio,Dante Alighieri,9780140448962,512
Don Quixote,Miguel de Cervantes Saavedra,9780142437230,1023
The Iliad,Homer,9780140275360,683
The Odyssey,Homer,9780140268867,541
Gulliver's Travels,Jonathan Swift,9780141439495,305
Moby Dick,Herman Melville,9780199535729,592
Paradise Lost,John Milton,9781461120407,140
The Tommyknockers,Stephen King,9780451156600,747
Mathematical Methods for Physicists,George Brown Arfken,9780123846549,1205
The Mathematical Theory of Communication,Claude E Shannon,9780252725463,144
"Bayesian Data Analysis, Third Edition",Andrew Gelman,9781439840955,675
Introduction to Real Analysis,Robert G. Bartle,9780471433316,416
Euclidean and Non-Euclidean Geometries,Marvin J. Greenberg,9780716799481,512
Riemannian Manifolds,John M. Lee,9780387983226,226
Introduction to Smooth Manifolds,John M. Lee,9780387954486,628
Algebraic Topology,Allen Hatcher,9780521795401,544
Visual Complex Analysis,Tristan Needham,9780198534464,592
Introductory Complex Analysis,Richard A. Silverman,9780486646862,372
Introduction to Topology,Bert Mendelson,9780486663524,206
Abstract Algebra,David S. Dummit,9780471433347,932
Elementary Differential Equations,William E. Boyce,9780470458327,644
Probability,Jim Pitman,9780387979748,559
Linear Algebra Done Right,Sheldon Axler,9780387982588,251
Introduction to Linear Algebra,Gilbert Strang,9780980232776,600
Linear Algebra,Stephen H. Friedberg,9780130084514,601
Understanding Analysis,Stephen Abbott,9781493927111,312
Statistical mechanics for engineers,Isamu Kusaka,9783319138091
Advanced organic chemistry,Francis A. Carey,9780387683461
"CMOS circuit design, layout, and simulation",R. Jacob Baker,9780470881323
Digital integrated circuits: a design perspective,Jan M. Rabaey,9780130909961
Modern control systems,Richard C. Dorf,9780134407623
MSP430 microcontroller basics,John H. Davies,9780750682763
Principles and applications of electrical engineering,Giorgio Rizzoni,9780073529592
"Memory systems: cache, DRAM, disk",Bruce Jacob,9780123797513
Nonlinear optics,Robert W. Boyd,9780123694706
Computer organization and embedded systems,V. Carl Hamacher,9780073380650
The History Of Sexuality,Michel Foucault,9780679724698
Intersectionality,Patricia Hill Collins,9780745684499
"Black feminist thought: knowledge, consciousness, and the politics of empowerment",Patrici Collins,9780415964722
The Routledge Companion To Feminist Philosophy,Ann Garry,9781138795921
Feminist methodologies for critical researchers: bridging differences,Joey Sprague,9781442218727
Consciousness explained,D. C. Dennett,9780316180665
