Title,Author,ISBN,Pages,Subject
The Kingdom Of God Is Within You,Leo Tolstoy,9781522744603,,Literature
Demons,Fyodor Dostoyevsky,9780679734512,733,Literature
The Brothers Karamazov: the Constance Garnett translation,Fyodor Mikhailovich Dostoyevsky,9780374528379,,Literature
Pride and Prejudice,Jane Austen,9780141439518,435,Literature
The Count of Monte Cristo,Alexandre Dumas pere,9780140449266,1276,Literature
Inferno,Dante Alighieri,9780140448955,449,Literature
Purgatorio,Dante Alighieri,9780140448962,,Literature
The Paradiso. A verse rendering for the modern reader,Dante Alighieri,9780140448979,,Literature
Don Quixote,Miguel de Cervantes Saavedra,9780142437230,1023,Literature
"Prince and the Pauper, The: Literary Touchstone Classic",Mark Twain,9781580496728,231,Literature
The Idiot,Fyodor Dostoyevsky,9780375702242,633,Literature
The Iliad,Homer,9780140275360,683,Literature
The Odyssey,Homer,9780140268867,541,Literature
Gulliver's Travels,Jonathan Swift,9780141439495,305,Literature
"Gone with the Wind, 75th Anniversary Edition",Margaret Mitchell,9781451635621,960,Literature
Moby Dick,Herman Melville,9780199535729,592,Literature
Adventures of Huckleberry Finn,Mark Twain,9781463520717,276,Literature
Where The Red Fern Grows: The Story Of Two Dogs And A Boy,Wilson Rawls,9780812416961,,Literature
Old Yeller,Fred Gipson,9780060935474,,Literature
Paradise Lost,John Milton,9781461120407,140,Literature
The Tommyknockers,Stephen King,9780451156600,747,Literature
Animal Farm,George Orwell,9780451526342,140,Literature
The Three Theban Plays,Sophocles,9780140444254,430,Literature
Paradise Lost,John Milton,9780140424393,453,Literature
The Adventures of Huckleberry Finn,Mark Twain,9781402726002,307,Literature
Introduction to Linear Algebra,Lee W. Johnson,9780201658590,555,Math
Mathematical methods for physicists,George B. Arfken,9780123846549,,Math
Playing for real: a text on game theory,K. G. Binmore,9780195300574,,Math
An introduction to information theory,Fazlollah M. Reza,9780486682105,,Math
An Introduction to Information Theory,John Robinson Pierce,9780486240619,305,Math
Elements of information theory,T. M. Cover,9780471241959,,Math
The Mathematical Theory Of Communication,Claude E Shannon,9780252725463,,Math
Numerical Methods for Engineers and Scientists,Amos Gilat,9781118554937,576,Math
"Bayesian Data Analysis, Third Edition",Andrew Gelman,9781439840955,675,Math
Stochastic Tools in Turbulence,John L. Lumley,9780486462707,194,Math
The Mathematical Theory of Communication,Claude Elwood Shannon,9780252725487,125,Math
Mathematical Foundations of Information Theory,Aleksandr I?Akovlevich Khinchin,9780486604343,120,Math
Chaos in Dynamical Systems,Edward Ott,9780521010849,478,Math
"Nonlinear dynamics and Chaos: with applications to physics, biology, chemistry, and engineering",Steven H. Strogatz,9780813349107,,Math
Numerical analysis,Richard L. Burden,9781305253667,,Math
Introduction to Real Analysis,Robert G. Bartle,9780471433316,416,Math
A First Course in Probability,Sheldon M. Ross,9780321794772,467,Math
Euclidean And Non-Euclidean Geometries: Development And History,Marvin J. Greenberg,9780716799481,,Math
Riemannian Manifolds,John M. Lee,9780387983226,226,Math
Introduction to Smooth Manifolds,John M. Lee,9780387954486,628,Math
Algebraic Topology,Allen Hatcher,9780521795401,544,Math
Visual Complex Analysis,Tristan Needham,9780198534464,592,Math
Introductory Complex Analysis,Richard A. Silverman,9780486646862,372,Math
Introduction to Topology,Bert Mendelson,9780486663524,206,Math
Abstract Algebra,David S. Dummit,9780471433347,932,Math
Elementary Differential Equations,William E. Boyce,9780470458327,,Math
Probability,Jim Pitman,9780387979748,559,Math
A first course in abstract algebra,John B. Fraleigh,9780201763904,520,Math
Topology,James R. Munkres,9780131816299,537,Math
Advanced modern algebra,Joseph J. Rotman,9780821847411,,Math
Theoretical numerical analysis: a functional analysis framework,Kendall E. Atkinson,9781441904577,,Math
Numerical Mathematics and Computing,E. Cheney,9781133103714,704,Math
Complex variables and applications,Ruel V. Churchill,9780073383170,,Math
Partial Differential Equations,Walter A. Strauss,9780470054567,464,Math
Linear algebra done right,Sheldon Jay Axler,9780387982588,,Math
Introduction to Linear Algebra,Gilbert Strang,9780980232776,600,Math
Differential Equations and Linear Algebra,Gilbert Strang,9780980232790,510,Math
Linear Algebra,Stephen H. Friedberg,9780130084514,601,Math
Understanding Analysis,Stephen Abbott,9781493927111,312,Math
Compliant Mechanisms,Larry L. Howell,9780471384786,,MechE
Urban transit systems and technology,Singiresu S. Rao,9780471771715,,MechE
Mechanical Design of Machine Elements and Machines,Jack A. Collins,9780470413036,890,MechE
Theory And Design For Mechanical Measurements,Richard S. Figliola,9781118881279,,MechE
Control systems engineering,Norman S. Nise,9781118170519,,MechE
Engineering Mechanics,J. L. Meriam,9781118807330,528,MechE
Engineering Mechanics,J. L. Meriam,9781118885840,736,MechE
Engineering mechanics,R. C. Hibbeler,9780133915389,,MechE
Engineering Mechanics-Dynamics,J. L. Meriam,9781118393635,752,MechE
Engineering mechanics,R. C. Hibbeler,9780133918922,,MechE
Mechanics of materials,R. C. Hibbeler,9780134319650,,MechE
Existentialism is a Humanism,Jean-Paul Sartre,9780300115468,108,Philosophy-PL
Being And Nothingness: An Essay On Phenomenological Ontology,Jean-Paul Sartre,9780671867805,,Philosophy-PL
Being and Time,Martin Heidegger,9780061575594,608,Philosophy-PL
Five Dialogues,Plato,9780872206335,156,Philosophy-PL
Discourse on Method and Meditations on First Philosophy (Fourth Edition),René Descartes,9780872204201,128,Philosophy-PL
The Will to Power,Friedrich Wilhelm Nietzsche,9780394704371,576,Philosophy-PL
The Structure of Scientific Revolutions,Thomas S. Kuhn,9780226458120,288,Philosophy-PL
The Antichrist,Friedrich Wilhelm Nietzsche,9781936594269,,Philosophy-PL
Beyond Good and Evil,Friedrich Wilhelm Nietzsche,9780679724650,256,Philosophy-PL
The Gay Science,Friedrich Wilhelm Nietzsche,9780394719856,396,Philosophy-PL
Thus Spoke Zarathustra,Friedrich Nietzsche,9780140441185,342,Philosophy-PL
The Freud reader,Sigmund Freud,9780393314038,,Philosophy-PL
Ethics preceded by On the improvement of the understanding,Baruch Spinoza,9780140435719,,Philosophy-PL
The First and Second Discourses,Jean-Jacques Rousseau,9780312694401,248,Philosophy-PL
An Enquiry Concerning Human Understanding ; [with] A Letter from a Gentleman to His Friend in Edinburgh ; [and] An Abstract of a Treatise of Human Nature,David Hume,9780872202290,151,Philosophy-PL
A Derrida Reader,Jacques Derrida,9780231066594,625,Philosophy-PL
The Foucault Reader,Michel Foucault,9780394713403,390,Philosophy-PL
The Continental Philosophy Reader,Richard Kearney,9780415095266,481,Philosophy-PL
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,9780486404455,125,Philosophy-PL
Philosophical investigations,Ludwig Wittgenstein,9781405159289,,Philosophy-PL
On Certainty,Ludwig Wittgenstein,9780061316869,192,Philosophy-PL
The Web of Belief,J. S. Ullian,9780075536093,147,Philosophy-PL
Pursuit of truth,Willard Van Orman Quine,9780674739512,,Philosophy-PL
Philosophy of Logic,Willard Van Orman Quine,9780674665637,109,Philosophy-PL
FROM STIMULUS TO SCIENCE,W. V. QUINE,9780674326361,126,Philosophy-PL
Naming and Necessity,Saul A. Kripke,9780631128014,184,Philosophy-PL
Wittgenstein on Rules and Private Language,Saul A. Kripke,9780674954014,150,Philosophy-PL
The Rationalists,René Descartes,9780385095402,471,Philosophy-PL
The Empiricists,John Locke,9780385096225,517,Philosophy-PL
Critique Of Pure Reason,Immanuel Kant,9780140447477,708,Philosophy-PL
Phenomenology of spirit,Georg Wilhelm Friedrich Hegel,9780198245971,595,Philosophy-PL
The Cambridge Companion to Heidegger's Being and Time,Mark A. Wrathall,9780521720564,448,Philosophy-SL
The Cambridge Companion To Marx,Terrell Carver,9780521366946,,Philosophy-SL
The Cambridge Companion to Foucault,Gary Gutting,9780521600538,465,Philosophy-SL
The Cambridge Companion to Sartre,Christina Howells,9780521388122,387,Philosophy-SL
The Cambridge companion to existentialism,Steven Galt Crowell,9780521732789,,Philosophy-SL
The Cambridge Companion to Wittgenstein,Hans D. Sluga,9780521465915,509,Philosophy-SL
The Cambridge companion to Nietzsche,Bernd Magnus,9780521367677,,Philosophy-SL
The Cambridge Companion to Kant and Modern Philosophy,Paul Guyer,9780521529952,722,Philosophy-SL
The Cambridge Companion To Kant,Paul Guyer,9780521367684,,Philosophy-SL
